Exercícios,Descrição,Criado/editado por,Grupo de exercícios,Código
barra fixa atrás,,,Dorsal,
BARRA FIXA CROSSOVER ATRAS,,,COSTAS,
BARRA FIXA CROSSOVER FRENTE,,,COSTAS,
BARRA FIXA FECHADA,,,COSTAS,
barra fixa frente,,,Dorsal,
BARRA FIXA NA FRENTE,,,COSTAS,
BARRA FIXA PEGADA FECHADA,,,COSTAS,
Bíceps TRX,,,Bíceps,
Bicicleta,,,Aeróbico,
BIKE,,,Aeróbico,
BIKE SPINNING,,,Aeróbico,
bosu,,,Abdomen,
Burpee,,,Aeróbico,
CACHORRINHO,,,GLÚTEO,
CACHORRINHO LATERAL,,,GLÚTEO,
CAD.EXTENSORA UNILATERAL,,,PERNA,
CADEIRA  ABDUTORA,,Bianca Bueno,PERNA,
cadeira abdutora,,,Abdutores,
Cadeira abdutora com step,,Bianca Bueno,Glúteos,
cadeira adutora,,,Adutores,
CADEIRA EXTENSORA,,,PERNA,
cadeira extensora alternada,,,Quadríceps,
cadeira extensora unilateral,,,Quadríceps,
cadeira flexora,,,Isquiotibiais,
Cama elástica,,,Aeróbico,
chest press,,,Peitoral,
Circundação dos ombros,,,Deltóide,
Climb,,,Aeróbico,
coice halteres,,,Tríceps,
CONES,,,Aeróbico,
Corda Naval,,,Aeróbico,
Corrida,,,Aeróbico,
corrida no cross,,,Quadríceps,
cross over,,,Peitoral,
cross over polia alta,,,Peitoral,
cross over polia baixa,,,Peitoral,
CROSSOVER 21,,,PEITO,
CRUCIFIXO,,,PEITO,
CRUCIFIXO 30,,,PEITO,
CRUCIFIXO 45,,,PEITO,
CRUCIFIXO CROS UNILATERAL,,,PEITO,
CRUCIFIXO CROSS OVER UNILATERAL,,,PEITO,
CRUCIFIXO DECLINADO,,,PEITO,
CRUCIFIXO FLY,,GERALDO RICARDO HERTEL JUNIOR,PEITO,
crucifixo inclinado,,,Peitoral,
crucifixo inclinado polia,,,Peitoral,
CRUCIFIXO INVERSO,,,COSTAS,
CRUCIFIXO INVERSO NO CROSS,,,OMBRO,
CRUCIFIXO INVERSO NO CROSS OVER,,,PEITO,
crucifixo invertido,,,Dorsal,
crucifixo no cross,,,Peitoral,
CRUCIFIXO NO VOADOR,,,PEITO,
CRUCIFIXO PRONADO,,,PEITO,
CRUCIFIXO PRONADO INCLINADO,,,PEITO,
crucifixo reto polia,,,Abdomen,
CRUCIFIXO SUPINADO,,,PEITO,
CRUCIFIXO SUPINADO DECLINADO,,,PEITO,
CRUCIFIXO SUPINADO INCLINADO,,,PEITO,
crunch,,,Abdomen,
crunch TRX,,,Abdomen,
cruz na polia alta,,,Bíceps,
desenvolvimento,,,Deltóide,
DESENVOLVIMENTO +ARNOLD,,,OMBRO,
DESENVOLVIMENTO ALTERNADO,,,OMBRO,
desenvolvimento Arnold,,,Deltóide,
DESENVOLVIMENTO ARNOLD UNILATERAL,,,OMBRO,
DESENVOLVIMENTO ARTICULADO,,,OMBRO,
DESENVOLVIMENTO COM BARRA,,,OMBRO,
DESENVOLVIMENTO COM BARRA LIVRE ATRAS,,,OMBRO,
DESENVOLVIMENTO COM BARRA LIVRE TRAS,,,OMBRO,
DESENVOLVIMENTO COM HALTERES,,,OMBRO,
desenvolvimento costas,,,Deltóide,
DESENVOLVIMENTO EM PÉ NA BARRA GUIADA,,,OMBRO,
Desenvolvimento Frente,,,Deltóide,
DESENVOLVIMENTO HALTER,,,OMBRO,
desenvolvimento máquina,,,Deltóide,
DESENVOLVIMENTO NO APARELHO,,,OMBRO,
DESENVOLVIMENTO SENTADO NA BARRA GUIADA,,,OMBRO,
desenvolvimento simultâneo,,,Deltóide,
DORSAIS EM SUSPENSAO NA BARRA,,,COSTAS,
DORSAIS POLIA ALTA,,,COSTAS,
ELEV. PELVICA ABERTA,,,GLÚTEO,
ELEV. PELVICA FECHADO,,,GLÚTEO,
elevação de ombros,,,Trapézio,
elevação de pelve,,,Isquiotibiais,
elevação de pernas,,,Abdomen,
elevação de quadril,,,Glúteos,
Elevação de quadril com band apoiada no banco ,,Bianca Bueno,Glúteos,
Elevação de quadril no solo c/ miniband,,Bianca Bueno,Glúteos,
ELEVACAO DIAGONAL,,,OMBRO,
elevação frontal,,,Deltóide,
elevação frontal alternada,,,Deltóide,
ELEVAÇÃO FRONTAL ANILHA,,,OMBRO,
ELEVAÇÃO FRONTAL COM BARRA,,,OMBRO,
ELEVAÇÃO FRONTAL COM HALTERES,,,OMBRO,
ELEVAÇÃO FRONTAL COM HALTERES NA DIAGONAL,,,OMBRO,
ELEVAÇÃO FRONTAL CROSS OVER,,,OMBRO,
elevação frontal halteres,,,Deltóide,
elevação frontal polia,,,Deltóide,
ELEVAÇAO FRONTAL PRONADA,,,OMBRO,
ELEVAÇÃO LATERAL,,,OMBRO,
ELEVACAO LATERAL AMPLITUDE MAXIMA,,,OMBRO,
ELEVAÇÃO LATERAL CROSS OVER,,,OMBRO,
ELEVAÇAO LATERAL CRUZADO NO CROSS,,,OMBRO,
ELEVACAO LATERAL ISO 15``+4 DINAMICO,,,OMBRO,
elevação lateral máquina,,,Deltóide,
ELEVAÇÃO LATERAL NO APARELHO,,,OMBRO,
ELEVAÇÃO LATERAL SENTADO NO BANCO,,,OMBRO,
elevação lateral unilateral,,,Deltóide,
ELEVACAO LATERO FRONTAL,,,OMBRO,
ELEVAÇAO LATERO FRONTAL+ENCOLHIMENTO,,,OMBRO,
ELEVAÇÃO PELVICA,,,GLÚTEO,
Elevação pélvica livre,,Bianca Bueno,Glúteos,
Elevação pélvica na máquina ,,Bianca Bueno,Glúteos,
Elevação pélvica no smith,,Bianca Bueno,Glúteos,
ELEVAÇÃO PÉLVICA UNILATERAL,,,GLÚTEO,
ELIPTICO,,,PERNA,
ELÍPTICO,,,PERNA,
ELIPTICO 10,,,PERNA,
ENCOLHIMENTO COM ISO DE ELEVACAO FRONTAL,,,OMBRO,
encolhimento de trapézio,,,Trapézio,
ENCOLHIMENTO OMBRO,,,OMBRO,
Escada de agilidade,,,Aeróbico,
ESTEIRA,,,OMBRO,
ESTEIRA 15,,,PERNA,
ESTEIRA 30,,,PERNA,
ESTEIRA PROG(SPEED INTERVAL),,,Aeróbico,
EXTENSÃO DE GLUTEO EM PÉ,,,GLÚTEO,
EXTENSÃO DE JOELHOS,,,PERNA,
EXTENSAO DE JOELHOS COM ELASTICO,,,PERNA,
EXTENSAO DE JOELHOS NA PAREDE,,,PERNA,
EXTENSAO DE JOELHOS NO BANCO,,,PERNA,
EXTENSAO DE JOELHOS NO CROSS,,,PERNA,
extensão de ombro,,,Deltóide,
extensão de perna,,,Quadríceps,
EXTENSÃO DE PUNHO,,,ANTEBRAÇO,
Extensão de quadril em pé com band ,,Bianca Bueno,Glúteos,
Extensão de quadril na polia - coice,,Bianca Bueno,Glúteos,
Extensão de quadril na polia - joelho flexionado,,Bianca Bueno,Glúteos,
Extensão de quadril na polia - perna reta,,Bianca Bueno,Glúteos,
extensão de tríceps,,,Tríceps,
extensão de tríceps polia,,,Tríceps,
EXTENSAO LOMBAR,,,COSTAS,
extensão lombar,,,Abdomen,
EXTENSAO LOMBAR (SMITH),,,COSTAS,
extensão quadril máquina,,,Glúteos,
FLAXAO DE QUADRIL,,,PERNA,
flexão de braço,,,Peitoral,
FLEXAO DE BRACO + REMADA UNILATERAL,,,COSTAS,
FLEXAO DE BRACO UNILATERAL,,,PEITO,
FLEXÃO DE BRAÇOS,,,PEITO,
FLEXÃO DE BRAÇOS FECHADO,,,PEITO,
FLEXÃO DE BRAÇOS NA BARRA PARALELA,,,TRÍCEPS,
FLEXÃO DE BRAÇOS NA BARRA PARALELA OLÍMPICA,,,TRÍCEPS,
flexão de joelho 4 apoios,,,Isquiotibiais,
flexão de joelho em pé,,,Isquiotibiais,
FLEXÃO DE JOELHOS,,,PERNA,
FLEXAO DE JOELHOS COM ELASTICO,,,PERNA,
FLEXÃO DE JOELHOS EM 4 APOIOS,,,PERNA,
FLEXAO DE JOELHOS EM PE,,,PERNA,
FLEXÃO DE JOELHOS EM PÉ,,,PERNA,
FLEXÃO DE JOELHOS EM PÉ NO APARELHO,,,PERNA,
FLEXAO DE JOELHOS NO CROSS,,,PERNA,
FLEXÃO DE JOELHOS PES PRESOS,,,Isquiotibiais,
flexão de quadril,,,Quadríceps,
FLEXAO DE QUADRIL COM CANELEIRA,,,PERNA,
FLEXÃO DE QUADRIL JOELHO ESTENDIDO,,,PERNA,
FLEXÃO DE QUADRIL JOELHO FLETIDO,,,PERNA,
FLEXAO DE TRICEPS,,,TRÍCEPS,
FLEXÃO DE TRICEPS,,,TRÍCEPS,
flexão de tríceps,,,Tríceps,
FLEXAO DE TRICEPS DIAGONAL,,,TRÍCEPS,
flexão de tronco solo,,,Abdomen,
flexão lateral de tronco,,,Abdomen,
FLEXAO PEITO PARALELAS,,,PEITO,
FLEXÃO PLANTAR,,,PERNA,
FLEXÃO PLANTAR UNILATERAL,,,PERNA,
FLEXOR SENTADO,,,PERNA,
FLEXORA 4 AP. CROSS,,,PERNA,
fly,,,Peitoral,
FLY 45º,,,PEITO,
FLY DECLINADO,,,PEITO,
FLY INCLINADO,,,PEITO,
FLY INVERSO,,,OMBRO,
fly invertido,,,Trapézio,
FLY RETO,,,PEITO,
FRANCE ELASTICO,,,TRÍCEPS,
FRANCÊS DEITADO,,,TRÍCEPS,
FRANCES DEITADO UNILATERAL,,,TRÍCEPS,
FRONTAL INVERSA BARRA,,,OMBRO,
FRONTAL INVERSA CROSS,,,OMBRO,
FRONTAL INVERSA HALTER,,,OMBRO,
GEMEOS SMITH,,,PERNA,
GLUTEO 4 APOIOS CROSS OVER,,,GLÚTEO,
GLÚTEO 4 APOIOS JOELHO ESTENDIDO,,,GLÚTEO,
GLÚTEO 4 APOIOS JOELHO FLETIDO,,,GLÚTEO,
GLUTEO 4 APOIOS NO BANCO,,,GLÚTEO,
GLUTEO 4 APOIOS NO LEG PRESS,,,GLÚTEO,
glúteo caneleira,,,Glúteos,
GLUTEO CHUTE LATERAL,,,GLÚTEO,
GLÚTEO COM CANELEIRA,,,GLÚTEO,
Glúteo com caneleira - coice,,Bianca Bueno,Glúteos,
Glúteo com caneleira - perna estendida ,,Bianca Bueno,Glúteos,
Glúteo com caneleira - perna flexionada 90º,,Bianca Bueno,Glúteos,
GLUTEO CROSS EM PÉ,,,GLÚTEO,
GLUTEO CROSS NO BANCO,,,GLÚTEO,
GLÚTEO CROSS OVER,,,GLÚTEO,
GLUTEO CRUZADO,,,GLÚTEO,
Gluteo Cruzado Cross,,,Glúteos,
glúteo graviton,,,Glúteos,
GLUTEO LATERAL NO LEG,,,GLÚTEO,
GLÚTEO MÁQUINA EM PÉ,,,GLÚTEO,
GLUTEO MAQUINA SIMULTANEO,,,GLÚTEO,
GLÚTEO NO APARELHO,,,GLÚTEO,
GLUTEO SMITH 4 APOIOS,,,GLÚTEO,
GLUTEO SOLO,,,PERNA,
GLUTEO SOLO DIAGONAL,,,GLÚTEO,
GLÚTEO SUBIDA BANCO,,,GLÚTEO,
glúteos,,,Glúteos,
Glúteos 30,,,Glúteos,
glúteos cross 90,,,Glúteos,
glúteos cross reto,,,Glúteos,
Glúteos TRX,,,Glúteos,
graviton costas,,,Dorsal,
graviton frente,,,Dorsal,
graviton neutra,,,Dorsal,
graviton pronada,,,Dorsal,
graviton supinada,,,Dorsal,
GRAVITRON,,,COSTAS,
HACK DE AGACHAMENTO 45,,,PERNA,
HACK FECHADO,,,PERNA,
HACK STIFF,,,PERNA,
INCLINADO ISOMETRICO,,,ABDOME,
INFRA NA PARALELA,,,ABDOME,
INFRA TESOURA,,,ABDOME,
jab,,,Deltóide,
JUMP,,,Aeróbico,
KETTLEBELL,,,Aeróbico,
leg,,,Quadríceps,
leg 180,,,Glúteos,
leg 180 glúteo,,,Glúteos,
leg 180º,,,Quadríceps,
leg 45º,,,Isquiotibiais,
leg 90º,,,Isquiotibiais,
LEG 90º SMITH,,,PERNA,
LEG ADUTOR \ /,,,PERNA,
LEG GEMEOS,,,PERNA,
LEG PRESS,,,PERNA,
Leg press 180,,Bianca Bueno,PERNA,
Leg press 180 unilateral,,Bianca Bueno,PERNA,
Leg press 45º,,Bianca Bueno,PERNA,
Leg press 45º unilateral,,Bianca Bueno,PERNA,
LEG PRESS COM CANELEIRA,,,PERNA,
LEG PRESS DEITADO,,,PERNA,
LEG PRESS FECHADO,,,PERNA,
LEG PRESS INCLINADO,,,PERNA,
LEG UNILATERAL,,,PERNA,
LEVANTAMENTO TERRA,,,COSTAS,
LEVANTAMENTO TERRA SUMÔ,,GERALDO RICARDO HERTEL JUNIOR,Glúteos,
Medicine Ball,,,Aeróbico,
MERGULHO,,,TRÍCEPS,
MESA FLEX UNILAT.,,,PERNA,
MESA FLEXORA,,,PERNA,
MESA FLEXORA UNILATERAL,,,PERNA,
oblíquo crunch,,,Abdomen,
OBLIQUO SUSPENSAO DE PERNAS,,,ABDOME,
OVER BACK,,,OMBRO,
OVER BACK CROSS,,,OMBRO,
Palco,,,Aeróbico,
panturrilha,,,Gastrocnêmios,
panturrilha em pé,,,Gastrocnêmios,
panturrilha máquina,,,Gastrocnêmios,
PANTURRILHA MAQUINA UNILATERAL,,,PERNA,
PANTURRILHA NA MAQUINA,,,PERNA,
PANTURRILHA NO HACK,,,PERNA,
PANTURRILHA NO LEG,,,PERNA,
PANTURRILHA NO SMITH,,,PERNA,
panturrilha sentado,,,Sóleo,
PANTURRILHA STEP,,,PERNA,
PANTURRILHA UNILATERAL,,,PERNA,
PANTURRILHA VERTICAL,,,PERNA,
PARALELA,,,Peitoral,
PARAQUEDISTA,,,COSTAS,
Passada,,,Quadríceps,
PATURRILHA UNILATERAL,,,PERNA,
PECK DECK,,,PEITO,
PECK DECK INVERSO,,,OMBRO,
PECK DECK INVERTIDO,,,COSTAS,
PEITO MAQUINA DE ABS,,,PEITO,
Posterior coxa na bola,,,Isquiotibiais,
POSTERIOR DE OMBRO NO CROSS,,,OMBRO,
posterior ombro TRX,,,Deltóide,
prancha frontal isometria,,,Abdomen,
prancha lateral isometria,,,Abdomen,
Precor,,,Aeróbico,
PRESS MILITAR,,,OMBRO,
Pular corda,,,Aeróbico,
PULL OVER,,,PEITO,
PULL OVER COM BARRA,,,COSTAS,
PULL OVER COM HALTERES,,,COSTAS,
PULLDOWN,,,COSTAS,
pulldown máquina,,,Dorsal,
pulldown polia alta,,,Dorsal,
PULLEY FRENTE,,GERALDO RICARDO HERTEL JUNIOR,COSTAS,
PULLEY TRIANGULO + ISO,,,COSTAS,
PULLEY UNI ABERTO,,,COSTAS,
PULLEY UNI FECHADO,,,COSTAS,
pullover,,,Peitoral,
PULLOVER DECLINADO,,,PEITO,
pullover polia alta,,,Dorsal,
puxada articulado,,,Dorsal,
Puxada cross,,,Dorsal,
puxada cruzada cross,,,Dorsal,
PUXADA NA BARRA FIXA,,,COSTAS,
puxada neutra,,,Dorsal,
puxada neutra aberta,,,Dorsal,
puxada pronada,,,Dorsal,
puxada pulley,,,Dorsal,
puxada pulley costas aberta,,,Dorsal,
puxada pulley frente neutra,,,Dorsal,
puxada supinada,,,Dorsal,
puxada unilateral,,,Dorsal,
PUXADOR FRENTE,,,COSTAS,
Recuo (afundo para trás),,Bianca Bueno,PERNA,
Recuo alternado,,Bianca Bueno,,
REMADA  BARRA CURTA,,,COSTAS,
REMADA ABERTA,,,COSTAS,
REMADA ABERTA NA POLIA,,,COSTAS,
REMADA ABERTA SUPINADA,,,COSTAS,
REMADA ALTA,,,OMBRO,
remada alta barra,,,Trapézio,
