Exercícios,Descrição,Criado/editado por,Grupo de exercícios,Código
SUPINO RETO BARRA GUIADA,,,PEITO,
SUPINO RETO COM BARRA,,,PEITO,
SUPINO RETO COM HALTERES,,,PEITO,
SUPINO RETO FECHADO,,,PEITO,
supino reto halteres,,,Peitoral,
SUPINO RETO HAMMER,,GERALDO RICARDO HERTEL JUNIOR,PEITO,
supino reto máquina,,,Peitoral,
supino reto Smith,,,Peitoral,
Supino TRX,,,Peitoral,
supra polia,,,Abdomen,
SWING,,,Aeróbico,
TESTA 45º BARRA W,,,TRÍCEPS,
TESTA 45º HALTERES,,,TRÍCEPS,
TESTA INVERSO BARRA,,,TRÍCEPS,
TESTA INVERSO CROSS,,,TRÍCEPS,
TESTA UNI SUPÍNADO,,,TRÍCEPS,
TIRO NA ESTEIRA,,,PERNA,
TREINO FUNCIONAL AFUNDO+PUXADA,,,PERNA,
TREINO FUNCIONAL LOMBAR+FLEXAO,,,COSTAS,
TRÍCEPS BANCO,,,TRÍCEPS,
TRÍCEPS COICE,,,TRÍCEPS,
TRICEPS COICE COM ELASTICO,,,TRÍCEPS,
tríceps coice halteres,,,Tríceps,
TRICEPS COICE NO CROSS,,,TRÍCEPS,
TRICEPS COM BARRA W BC RETO,,,TRÍCEPS,
TRÍCEPS CORDA,,,TRÍCEPS,
TRÍCEPS CROSS OVER,,,TRÍCEPS,
TRÍCEPS CROSS OVER UNILATERAL,,,TRÍCEPS,
TRICEPS DECLINADO COM BARRA,,,TRÍCEPS,
TRÍCEPS FRANCÊS,,,TRÍCEPS,
tríceps frânces,,,Tríceps,
TRICEPS FRANCES COM ELASTICO,,,TRÍCEPS,
TRÍCEPS FRANCÊS CROSS OVER,,,TRÍCEPS,
TRÍCEPS FRANCÊS UNILATERAL,,,TRÍCEPS,
TRICEPS INVERSO NO CROSS,,,TRÍCEPS,
TRICEPS INVERSO UNILATERAL,,,TRÍCEPS,
TRÍCEPS INVERTIDO,,,TRÍCEPS,
tríceps invertido barra,,,Tríceps,
tríceps invertido cross,,,Tríceps,
triceps maquina,,,Tríceps,
TRICEPS MAQUINA DE ABS,,,TRÍCEPS,
TRICEPS MERGULHO,,,TRÍCEPS,
tríceps mergulho,,,Tríceps,
TRICEPS NA PARALELA,,,TRÍCEPS,
TRÍCEPS PARALELA,,,Tríceps,
TRÍCEPS PARALELA GRAVITON,,,Tríceps,
TRICEPS PARALELAS 21,,,TRÍCEPS,
TRÍCEPS PARALELO NO APARELHO,,,TRÍCEPS,
TRÍCEPS PEITO COM BARRA,,,TRÍCEPS,
TRÍCEPS PEITO NA BARRA GUIADA,,,TRÍCEPS,
tríceps pulley,,,Tríceps,
TRICEPS SOLO,,,TRÍCEPS,
TRICEPS SUPÍNADO,,,TRÍCEPS,
tríceps supinado polia,,,Tríceps,
TRICEPS TESTA,,,TRÍCEPS,
TRICEPS TESTA ANILHA,,,TRÍCEPS,
TRÍCEPS TESTA BARRA,,,TRÍCEPS,
tríceps testa barra H,,,Tríceps,
tríceps testa barra W,,,Tríceps,
tríceps testa cross,,,Tríceps,
TRÍCEPS TESTA CROSS OVER,,,TRÍCEPS,
TRICEPS TESTA CROSS UNILATERAL,,,TRÍCEPS,
TRICEPS TESTA HALTERES,,,TRÍCEPS,
tríceps testa halteres,,,Tríceps,
TRICEPS TESTA INVERTIDO,,,TRÍCEPS,
Tríceps TRX,,,Tríceps,
tríceps unilateral polia,,,Tríceps,
